0.0 0	9.87654	2.7	0
0.001 0.0027	9.87654	2.7	-0.00981
0.002 0.0054	9.87652	2.7	-0.01962
0.003 0.0081	9.8765	2.7	-0.02943
0.004 0.0108	9.87646	2.7	-0.03924
0.005 0.0135	9.87642	2.7	-0.04905
0.006 0.0162	9.87637	2.7	-0.05886
0.007 0.0189	9.8763	2.7	-0.06867
0.008 0.0216	9.87623	2.7	-0.07848
0.009 0.0243	9.87615	2.7	-0.08829
0.01 0.027	9.87605	2.7	-0.0981
0.011 0.0297	9.87595	2.7	-0.10791
0.012 0.0324	9.87584	2.7	-0.11772
0.013 0.0351	9.87571	2.7	-0.12753
0.014 0.0378	9.87558	2.7	-0.13734
0.015 0.0405	9.87544	2.7	-0.14715
0.016 0.0432	9.87529	2.7	-0.15696
0.017 0.0459	9.87513	2.7	-0.16677
0.018 0.0486	9.87495	2.7	-0.17658
0.019 0.0513	9.87477	2.7	-0.18639
0.02 0.054	9.87458	2.7	-0.1962
0.021 0.0567	9.87438	2.7	-0.20601
0.022 0.0594	9.87417	2.7	-0.21582
0.023 0.0621	9.87395	2.7	-0.22563
0.024 0.0648	9.87372	2.7	-0.23544
0.025 0.0675	9.87348	2.7	-0.24525
0.026 0.0702	9.87323	2.7	-0.25506
0.027 0.0729	9.87297	2.7	-0.26487
0.028 0.0756	9.8727	2.7	-0.27468
0.029 0.0783	9.87242	2.7	-0.28449
0.03 0.081	9.87213	2.7	-0.2943
0.031 0.0837	9.87183	2.7	-0.30411
0.032 0.0864	9.87152	2.7	-0.31392
0.033 0.0891	9.8712	2.7	-0.32373
0.034 0.0918	9.87087	2.7	-0.33354
0.035 0.0945	9.87053	2.7	-0.34335
0.036 0.0972	9.87019	2.7	-0.35316
0.037 0.0999	9.86983	2.7	-0.36297
0.038 0.1026	9.86946	2.7	-0.37278
0.039 0.1053	9.86908	2.7	-0.38259
0.04 0.108	9.8687	2.7	-0.3924
0.041 0.1107	9.8683	2.7	-0.40221
0.042 0.1134	9.86789	2.7	-0.41202
0.043 0.1161	9.86747	2.7	-0.42183
0.044 0.1188	9.86705	2.7	-0.43164
0.045 0.1215	9.86661	2.7	-0.44145
0.046 0.1242	9.86616	2.7	-0.45126
0.047 0.1269	9.86571	2.7	-0.46107
0.048 0.1296	9.86524	2.7	-0.47088
0.049 0.1323	9.86477	2.7	-0.48069
0.05 0.135	9.86428	2.7	-0.4905
0.051 0.1377	9.86379	2.7	-0.50031
0.052 0.1404	9.86328	2.7	-0.51012
0.053 0.1431	9.86277	2.7	-0.51993
0.054 0.1458	9.86224	2.7	-0.52974
0.055 0.1485	9.86171	2.7	-0.53955
0.056 0.1512	9.86116	2.7	-0.54936
0.057 0.1539	9.86061	2.7	-0.55917
0.058 0.1566	9.86004	2.7	-0.56898
0.059 0.1593	9.85947	2.7	-0.57879
0.06 0.162	9.85889	2.7	-0.5886
0.061 0.1647	9.85829	2.7	-0.59841
0.062 0.1674	9.85769	2.7	-0.60822
0.063 0.1701	9.85708	2.7	-0.61803
0.064 0.1728	9.85645	2.7	-0.62784
0.065 0.1755	9.85582	2.7	-0.63765
0.066 0.1782	9.85518	2.7	-0.64746
0.067 0.1809	9.85452	2.7	-0.65727
0.068 0.1836	9.85386	2.7	-0.66708
0.069 0.1863	9.85319	2.7	-0.67689
0.07 0.189	9.85251	2.7	-0.6867
0.071 0.1917	9.85182	2.7	-0.69651
0.072 0.1944	9.85112	2.7	-0.70632
0.073 0.1971	9.8504	2.7	-0.71613
0.074 0.1998	9.84968	2.7	-0.72594
0.075 0.2025	9.84895	2.7	-0.73575
0.076 0.2052	9.84821	2.7	-0.74556
0.077 0.2079	9.84746	2.7	-0.75537
0.078 0.2106	9.8467	2.7	-0.76518
0.079 0.2133	9.84593	2.7	-0.77499
0.08 0.216	9.84515	2.7	-0.7848
0.081 0.2187	9.84436	2.7	-0.79461
0.082 0.2214	9.84356	2.7	-0.80442
0.083 0.2241	9.84275	2.7	-0.81423
0.084 0.2268	9.84193	2.7	-0.82404
0.085 0.2295	9.8411	2.7	-0.83385
0.086 0.2322	9.84027	2.7	-0.84366
0.087 0.2349	9.83942	2.7	-0.85347
0.088 0.2376	9.83856	2.7	-0.86328
0.089 0.2403	9.83769	2.7	-0.87309
0.09 0.243	9.83681	2.7	-0.8829
0.091 0.2457	9.83593	2.7	-0.89271
0.092 0.2484	9.83503	2.7	-0.90252
0.093 0.2511	9.83412	2.7	-0.91233
0.094 0.2538	9.8332	2.7	-0.92214
0.095 0.2565	9.83228	2.7	-0.93195
0.096 0.2592	9.83134	2.7	-0.94176
0.097 0.2619	9.83039	2.7	-0.95157
0.098 0.2646	9.82944	2.7	-0.96138
0.099 0.2673	9.82847	2.7	-0.97119
0.1 0.27	9.82749	2.7	-0.981
0.101 0.2727	9.82651	2.7	-0.99081
0.102 0.2754	9.82551	2.7	-1.00062
0.103 0.2781	9.82451	2.7	-1.01043
0.104 0.2808	9.82349	2.7	-1.02024
0.105 0.2835	9.82247	2.7	-1.03005
0.106 0.2862	9.82143	2.7	-1.03986
0.107 0.2889	9.82039	2.7	-1.04967
0.108 0.2916	9.81933	2.7	-1.05948
0.109 0.2943	9.81827	2.7	-1.06929
0.11 0.297	9.81719	2.7	-1.0791
0.111 0.2997	9.81611	2.7	-1.08891
0.112 0.3024	9.81502	2.7	-1.09872
0.113 0.3051	9.81391	2.7	-1.10853
0.114 0.3078	9.8128	2.7	-1.11834
0.115 0.3105	9.81167	2.7	-1.12815
0.116 0.3132	9.81054	2.7	-1.13796
0.117 0.3159	9.8094	2.7	-1.14777
0.118 0.3186	9.80825	2.7	-1.15758
0.119 0.3213	9.80708	2.7	-1.16739
0.12 0.324	9.80591	2.7	-1.1772
0.121 0.3267	9.80473	2.7	-1.18701
0.122 0.3294	9.80354	2.7	-1.19682
0.123 0.3321	9.80234	2.7	-1.20663
0.124 0.3348	9.80112	2.7	-1.21644
0.125 0.3375	9.7999	2.7	-1.22625
0.126 0.3402	9.79867	2.7	-1.23606
0.127 0.3429	9.79743	2.7	-1.24587
0.128 0.3456	9.79618	2.7	-1.25568
0.129 0.3483	9.79492	2.7	-1.26549
0.13 0.351	9.79365	2.7	-1.2753
0.131 0.3537	9.79237	2.7	-1.28511
0.132 0.3564	9.79108	2.7	-1.29492
0.133 0.3591	9.78978	2.7	-1.30473
0.134 0.3618	9.78847	2.7	-1.31454
0.135 0.3645	9.78715	2.7	-1.32435
0.136 0.3672	9.78582	2.7	-1.33416
0.137 0.3699	9.78448	2.7	-1.34397
0.138 0.3726	9.78313	2.7	-1.35378
0.139 0.3753	9.78177	2.7	-1.36359
0.14 0.378	9.78041	2.7	-1.3734
0.141 0.3807	9.77903	2.7	-1.38321
0.142 0.3834	9.77764	2.7	-1.39302
0.143 0.3861	9.77624	2.7	-1.40283
0.144 0.3888	9.77483	2.7	-1.41264
0.145 0.3915	9.77342	2.7	-1.42245
0.146 0.3942	9.77199	2.7	-1.43226
0.147 0.3969	9.77055	2.7	-1.44207
0.148 0.3996	9.7691	2.7	-1.45188
0.149 0.4023	9.76765	2.7	-1.46169
0.15 0.405	9.76618	2.7	-1.4715
0.151 0.4077	9.7647	2.7	-1.48131
0.152 0.4104	9.76322	2.7	-1.49112
0.153 0.4131	9.76172	2.7	-1.50093
0.154 0.4158	9.76022	2.7	-1.51074
0.155 0.4185	9.7587	2.7	-1.52055
0.156 0.4212	9.75718	2.7	-1.53036
0.157 0.4239	9.75564	2.7	-1.54017
0.158 0.4266	9.75409	2.7	-1.54998
0.159 0.4293	9.75254	2.7	-1.55979
0.16 0.432	9.75098	2.7	-1.5696
0.161 0.4347	9.7494	2.7	-1.57941
0.162 0.4374	9.74782	2.7	-1.58922
0.163 0.4401	9.74622	2.7	-1.59903
0.164 0.4428	9.74462	2.7	-1.60884
0.165 0.4455	9.743	2.7	-1.61865
0.166 0.4482	9.74138	2.7	-1.62846
0.167 0.4509	9.73975	2.7	-1.63827
0.168 0.4536	9.7381	2.7	-1.64808
0.169 0.4563	9.73645	2.7	-1.65789
0.17 0.459	9.73479	2.7	-1.6677
0.171 0.4617	9.73312	2.7	-1.67751
0.172 0.4644	9.73143	2.7	-1.68732
0.173 0.4671	9.72974	2.7	-1.69713
0.174 0.4698	9.72804	2.7	-1.70694
0.175 0.4725	9.72633	2.7	-1.71675
0.176 0.4752	9.72461	2.7	-1.72656
0.177 0.4779	9.72287	2.7	-1.73637
0.178 0.4806	9.72113	2.7	-1.74618
0.179 0.4833	9.71938	2.7	-1.75599
0.18 0.486	9.71762	2.7	-1.7658
0.181 0.4887	9.71585	2.7	-1.77561
0.182 0.4914	9.71407	2.7	-1.78542
0.183 0.4941	9.71228	2.7	-1.79523
0.184 0.4968	9.71048	2.7	-1.80504
0.185 0.4995	9.70867	2.7	-1.81485
0.186 0.5022	9.70685	2.7	-1.82466
0.187 0.5049	9.70502	2.7	-1.83447
0.188 0.5076	9.70318	2.7	-1.84428
0.189 0.5103	9.70133	2.7	-1.85409
0.19 0.513	9.69947	2.7	-1.8639
0.191 0.5157	9.6976	2.7	-1.87371
0.192 0.5184	9.69573	2.7	-1.88352
0.193 0.5211	9.69384	2.7	-1.89333
0.194 0.5238	9.69194	2.7	-1.90314
0.195 0.5265	9.69003	2.7	-1.91295
0.196 0.5292	9.68811	2.7	-1.92276
0.197 0.5319	9.68619	2.7	-1.93257
0.198 0.5346	9.68425	2.7	-1.94238
0.199 0.5373	9.6823	2.7	-1.95219
0.2 0.54	9.68034	2.7	-1.962
0.201 0.5427	9.67838	2.7	-1.97181
0.202 0.5454	9.6764	2.7	-1.98162
0.203 0.5481	9.67441	2.7	-1.99143
0.204 0.5508	9.67242	2.7	-2.00124
0.205 0.5535	9.67041	2.7	-2.01105
0.206 0.5562	9.66839	2.7	-2.02086
0.207 0.5589	9.66637	2.7	-2.03067
0.208 0.5616	9.66433	2.7	-2.04048
0.209 0.5643	9.66229	2.7	-2.05029
0.21 0.567	9.66023	2.7	-2.0601
0.211 0.5697	9.65817	2.7	-2.06991
0.212 0.5724	9.65609	2.7	-2.07972
0.213 0.5751	9.65401	2.7	-2.08953
0.214 0.5778	9.65191	2.7	-2.09934
0.215 0.5805	9.64981	2.7	-2.10915
0.216 0.5832	9.6477	2.7	-2.11896
0.217 0.5859	9.64557	2.7	-2.12877
